2026-04-15 18:21:28, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:21:48, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:24:12, CierreOrden , TG Bots -> Error: Ocurrió un error inesperado.
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:24:12, Navegación , TG Bots -> El archivo de Excel ha sido cerrado.
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:24:12, Navegación , TG Bots -> Cierre
-------------------,--------------,--------------------------------------------------------------------------------
-------------------,--------------,DECLARACION X BOTS (1/2)
Timestamp,Accion,Detalle
2026-04-15 18:25:05,Navegacion,TG Bots -> Pagina de inicio cargada
2026-04-15 18:25:09,Credenciales,NDC -> Credenciales y Acceso ok
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:27:32, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:27:52, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:29:25, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:29:46, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:31:45, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:32:05, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:33:38, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:33:58, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:35:31, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:35:51, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:37:25, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:37:45, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:39:19, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:39:39, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:40:15, CierreOrden , NDC -> NO Declarada - Actividad no termino de cargar o existe un problema con la actividad
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:40:17, CierreOrden , TG Bots -> Error: Ocurrió un error inesperado.
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:40:17, Navegación , TG Bots -> El archivo de Excel ha sido cerrado.
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:40:17, Navegación , TG Bots -> Cierre
-------------------,--------------,--------------------------------------------------------------------------------
-------------------,--------------,DECLARACION X BOTS (1/2)
Timestamp,Accion,Detalle
2026-04-15 18:46:34,Navegacion,TG Bots -> Pagina de inicio cargada
2026-04-15 18:46:39,Credenciales,NDC -> Credenciales y Acceso ok
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:49:01, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:49:21, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:51:21, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:51:41, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 18:53:15, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 18:53:35, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
