1-3IVPUY35 ; producto erroneo ;,2026-04-07 20:30:38
1-3J7OQ3RO; Declarada o En Proceso ;,2026-04-07 20:30:46
1-3J7JRBKC; falta-stock ;,2026-04-07 20:31:08
1-3J6VNJIS; Declarada o En Proceso ;,2026-04-07 20:31:25
1-3IW23PUK ; producto erroneo ;,2026-04-07 20:31:32
1-3J72C3CT; falta-stock ;,2026-04-07 20:31:36
1-3J6Z4Y27; falta-stock ;,2026-04-07 20:31:49
1-3J6R7ZNO; Declarada o En Proceso ;,2026-04-07 20:32:02
1-3J75WMV5; Declarada o En Proceso ;,2026-04-07 20:32:25
1-3IW8OI45 ; producto erroneo ;,2026-04-07 20:32:26
1-3J7ORSMF; Declarada o En Proceso ;,2026-04-07 20:33:11
1-3IWTVOJY ; producto erroneo ;,2026-04-07 20:33:20
1-3J65A7Q1; Declarada o En Proceso ;,2026-04-07 20:33:22
1-3J6VUF00; Declarada o En Proceso ;,2026-04-07 20:33:42
1-3J72HOGM; falta-stock ;,2026-04-07 20:33:45
1-3J7H9UM7; Declarada o En Proceso ;,2026-04-07 20:33:56
1-3IXQEAIC ; Codigo de material no reconocido ;,2026-04-07 20:34:08
1-3J6RCC1F; Declarada o En Proceso ;,2026-04-07 20:34:21
1-3J762G0P; Declarada o En Proceso ;,2026-04-07 20:34:34
1-3IXRE4ME ; producto erroneo ;,2026-04-07 20:35:01
1-3J7JVILN; Declarada o En Proceso ;,2026-04-07 20:35:05
1-3J7P0D1O; Declarada o En Proceso ;,2026-04-07 20:35:28
1-3J6W0YBO; Declarada o En Proceso ;,2026-04-07 20:35:29
1-3J6CK52W; Declarada o En Proceso ;,2026-04-07 20:35:31
1-3IXYBHXI ; producto erroneo ;,2026-04-07 20:35:55
1-3J6ZAMNT; Declarada o En Proceso ;,2026-04-07 20:36:00
1-3J7HBC3Q; Declarada o En Proceso ;,2026-04-07 20:36:05
1-3J6RCSKQ; falta-stock ;,2026-04-07 20:36:11
1-3J7JWSKQ; Declarada o En Proceso ;,2026-04-07 20:36:30
1-3IXSKJTU ; Codigo de material no reconocido ;,2026-04-07 20:36:43
1-3J763URV; Declarada o En Proceso ;,2026-04-07 20:36:43
1-3J6W1N30 ; Codigo de material no reconocido ;,2026-04-07 20:36:46
1-3J6D60KL ; Codigo de material no reconocido ;,2026-04-07 20:36:48
1-3J7P18MI; Declarada o En Proceso ;,2026-04-07 20:36:54
1-3IZ8YJMS ; producto erroneo ;,2026-04-07 20:37:37
1-3J7P1RKH ; Codigo de material no reconocido ;,2026-04-07 20:37:49
1-3J6ZCRLI; falta-stock ;,2026-04-07 20:38:05
1-3J7HEFNB; Declarada o En Proceso ;,2026-04-07 20:38:07
1-3J6RMBT5; falta-stock ;,2026-04-07 20:38:08
1-3J72KR4S; falta-stock ;,2026-04-07 20:38:13
1-3J6DGGHW; Declarada o En Proceso ;,2026-04-07 20:38:21
1-3J7K4AT5; Declarada o En Proceso ;,2026-04-07 20:38:25
1-3IZ32K39 ; producto erroneo ;,2026-04-07 20:38:31
1-3J764EJH; falta-stock ;,2026-04-07 20:38:49
1-3J6W2I56; Declarada o En Proceso ;,2026-04-07 20:38:49
1-3J7KCUBB ; Codigo de material no reconocido ;,2026-04-07 20:39:13
1-3IZVTPDT ; Codigo de material no reconocido ;,2026-04-07 20:39:19
1-3J7PALN9; Declarada o En Proceso ;,2026-04-07 20:39:51
1-3J7HEXG8; Declarada o En Proceso ;,2026-04-07 20:39:55
1-3J0K243L ; producto erroneo ;,2026-04-07 20:40:13
1-3J6HHBIS; Declarada o En Proceso ;,2026-04-07 20:40:24
1-3J7KQB17 ; Codigo de material no reconocido ;,2026-04-07 20:40:31
1-3J7HFBJF ; Codigo de material no reconocido ;,2026-04-07 20:40:58
1-3J0Q34Z5 ; producto erroneo ;,2026-04-07 20:41:07
1-3J7KTS3H ; Codigo de material no reconocido ;,2026-04-07 20:41:18
1-3J7PLS5W; Declarada o En Proceso ;,2026-04-07 20:41:32
1-3J6LTVIB ; Codigo de material no reconocido ;,2026-04-07 20:41:41
1-3J6ZSN02; Declarada o En Proceso ;,2026-04-07 20:41:48
1-3J13G8EP ; producto erroneo ;,2026-04-07 20:42:01
1-3J7KUTFG ; Codigo de material no reconocido ;,2026-04-07 20:42:06
1-3J6S67MT; Declarada o En Proceso ;,2026-04-07 20:42:13
1-3J72S71Z; Declarada o En Proceso ;,2026-04-07 20:42:32
1-3J7HI6X1; falta-stock ;,2026-04-07 20:42:34
1-3J6W9WUF; falta-stock ;,2026-04-07 20:42:37
1-3J1Z46V9 ; producto erroneo ;,2026-04-07 20:42:55
1-3J6ZVJR7 ; Codigo de material no reconocido ;,2026-04-07 20:43:05
1-3J7PRXDG; falta-stock ;,2026-04-07 20:43:07
1-3J76DATT; Declarada o En Proceso ;,2026-04-07 20:43:25
1-3J6MLDQY; Declarada o En Proceso ;,2026-04-07 20:43:29
1-3J7KVB5J; Declarada o En Proceso ;,2026-04-07 20:43:32
1-3J2DO59C ; producto erroneo ;,2026-04-07 20:43:49
1-3J6SFR9H; falta-stock ;,2026-04-07 20:43:56
1-3J6WDGKT ; Codigo de material no reconocido ;,2026-04-07 20:44:00
1-3J700QQJ ; Codigo de material no reconocido ;,2026-04-07 20:44:22
1-3J7L1VVH; falta-stock ;,2026-04-07 20:44:31
1-3J2RHUM8 ; producto erroneo ;,2026-04-07 20:44:43
1-3J72TM8C; Declarada o En Proceso ;,2026-04-07 20:44:51
1-3J7PU4NU; falta-stock ;,2026-04-07 20:45:04
1-3J76DK1F; Declarada o En Proceso ;,2026-04-07 20:45:35
1-3J2XNRAH ; producto erroneo ;,2026-04-07 20:45:37
1-3J6MT06Y; Declarada o En Proceso ;,2026-04-07 20:45:38
1-3J7014Z3; falta-stock ;,2026-04-07 20:45:50
1-3J6WI775; falta-stock ;,2026-04-07 20:45:50
1-3J72V4T8 ; Codigo de material no reconocido ;,2026-04-07 20:46:01
1-3J32S0LG ; producto erroneo ;,2026-04-07 20:46:31
1-3J76JW1D; Declarada o En Proceso ;,2026-04-07 20:47:01
1-3J6WQH9A ; Codigo de material no reconocido ;,2026-04-07 20:47:15
1-3J734HQK; Declarada o En Proceso ;,2026-04-07 20:47:28
1-3J7HKTLZ; Declarada o En Proceso ;,2026-04-07 20:47:31
1-3J6MZM1U; Declarada o En Proceso ;,2026-04-07 20:48:06
1-3J76KMA3 ; Codigo de material no reconocido ;,2026-04-07 20:48:12
1-3J6SRLA7; Declarada o En Proceso ;,2026-04-07 20:48:17
1-3J7L5258; Declarada o En Proceso ;,2026-04-07 20:48:35
1-3J7L7AQO ; Codigo de material no reconocido ;,2026-04-07 20:49:23
1-3J73EJV2; Declarada o En Proceso ;,2026-04-07 20:49:39
1-3J7Q1C6Y; Declarada o En Proceso ;,2026-04-07 20:49:49
1-3J7HM676; Declarada o En Proceso ;,2026-04-07 20:49:57
1-3J3NBKYE ; producto erroneo ;,2026-04-07 20:50:02
1-3J6T8QQ9; falta-stock ;,2026-04-07 20:50:08
1-3J6MZSGI; Declarada o En Proceso ;,2026-04-07 20:50:26
1-3J76KVN7; Declarada o En Proceso ;,2026-04-07 20:50:30
1-3J7Q2D4Z ; Codigo de material no reconocido ;,2026-04-07 20:50:36
1-3J3P2P2L ; Codigo de material no reconocido ;,2026-04-07 20:50:50
1-3J7HMD9O ; Codigo de material no reconocido ;,2026-04-07 20:51:07
1-3J7LJPVN; Declarada o En Proceso ;,2026-04-07 20:51:42
1-3J3WB1G7 ; Codigo de material no reconocido ;,2026-04-07 20:51:53
1-3J6XGZNA; Declarada o En Proceso ;,2026-04-07 20:51:53
1-3J77MVXC; Declarada o En Proceso ;,2026-04-07 20:52:05
1-3J73FSV2; Declarada o En Proceso ;,2026-04-07 20:52:14
1-3J7QJWX3; falta-stock ;,2026-04-07 20:52:21
1-3J705UGJ; Declarada o En Proceso ;,2026-04-07 20:52:35
1-3J6N1MHZ; Declarada o En Proceso ;,2026-04-07 20:52:37
1-3J6XJBRR ; Codigo de material no reconocido ;,2026-04-07 20:53:11
1-3J7R600W ; Codigo de material no reconocido ;,2026-04-07 20:53:15
1-3J7HT983; Declarada o En Proceso ;,2026-04-07 20:53:17
1-3J77P16M; Declarada o En Proceso ;,2026-04-07 20:53:32
1-3J73GXMK; Declarada o En Proceso ;,2026-04-07 20:53:40
1-3J3LZHWF; falta-stock ;,2026-04-07 20:53:44
1-3J7HVQ17 ; Codigo de material no reconocido ;,2026-04-07 20:54:05
1-3J707IGH; Declarada o En Proceso ;,2026-04-07 20:54:16
1-3J4L0ZJ7 ; existe un problema con la actividad ;,2026-04-07 20:54:19
1-3J6TUHBS; Declarada o En Proceso ;,2026-04-07 20:54:27
1-3J7RHV4G ; Codigo de material no reconocido ;,2026-04-07 20:54:32
1-3J6N9FEA; Declarada o En Proceso ;,2026-04-07 20:54:48
1-3J77R9MH; Declarada o En Proceso ;,2026-04-07 20:54:58
1-3J7LPQXB; Declarada o En Proceso ;,2026-04-07 20:55:19
1-3J6XJJKT; Declarada o En Proceso ;,2026-04-07 20:55:21
1-3J709N5D ; Codigo de material no reconocido ;,2026-04-07 20:55:41
1-3J7RNTPS ; Codigo de material no reconocido ;,2026-04-07 20:55:43
1-3J6TWTBY ; Codigo de material no reconocido ;,2026-04-07 20:55:45
1-3J73OLWF; Declarada o En Proceso ;,2026-04-07 20:56:15
1-3J7HWD9B; Declarada o En Proceso ;,2026-04-07 20:56:16
1-3J7904KU; Declarada o En Proceso ;,2026-04-07 20:56:24
1-3J7S0BIN ; Codigo de material no reconocido ;,2026-04-07 20:57:00
1-3J6U9TK6 ; Codigo de material no reconocido ;,2026-04-07 20:57:03
1-3J6NJX4U; Declarada o En Proceso ;,2026-04-07 20:57:06
1-3J70BE8R; falta-stock ;,2026-04-07 20:57:10
1-3J7LTOG0; Declarada o En Proceso ;,2026-04-07 20:57:22
1-3J6XYY34; Declarada o En Proceso ;,2026-04-07 20:57:39
1-3J741IZZ; falta-stock ;,2026-04-07 20:57:44
1-3J7E9EYR; Declarada o En Proceso ;,2026-04-07 20:57:50
1-3J7I3COK; Declarada o En Proceso ;,2026-04-07 20:58:35
1-3J744JNA ; Codigo de material no reconocido ;,2026-04-07 20:58:45
1-3J6UBZKX; Declarada o En Proceso ;,2026-04-07 20:59:07
1-3J7EJTPK; Declarada o En Proceso ;,2026-04-07 20:59:17
1-3J6Y2947; falta-stock ;,2026-04-07 20:59:23
1-3J6NLYH0; Declarada o En Proceso ;,2026-04-07 20:59:24
1-3J7M3A6X; Declarada o En Proceso ;,2026-04-07 20:59:40
1-3J6UDYVL; Declarada o En Proceso ;,2026-04-07 21:00:41
1-3J7EO5WL; Declarada o En Proceso ;,2026-04-07 21:00:44
1-3J70KKH3; Declarada o En Proceso ;,2026-04-07 21:00:46
1-3J7I8KVH; Declarada o En Proceso ;,2026-04-07 21:00:46
1-3J7M8W9E; Declarada o En Proceso ;,2026-04-07 21:01:45
1-3J7T8A86; Declarada o En Proceso ;,2026-04-07 21:01:47
1-3J6NPKZB; Declarada o En Proceso ;,2026-04-07 21:01:56
1-3J70OOP0; falta-stock ;,2026-04-07 21:02:12
1-3J6UGD3M; falta-stock ;,2026-04-07 21:02:22
1-3IOGN610 ; producto erroneo ;,2026-04-07 21:03:05
1-3J7EXEPH; Declarada o En Proceso ;,2026-04-07 21:03:08
1-3J746XFQ; Declarada o En Proceso ;,2026-04-07 21:03:09
1-3J7IBKQD; Declarada o En Proceso ;,2026-04-07 21:03:09
1-3J7MD55M; Declarada o En Proceso ;,2026-04-07 21:03:27
1-3J6YD5QZ ; Codigo de material no reconocido ;,2026-04-07 21:03:35
1-3J6NSIND; falta-stock ;,2026-04-07 21:03:55
1-3IP4CXI9 ; producto erroneo ;,2026-04-07 21:04:01
1-3J7EZKRY ; Codigo de material no reconocido ;,2026-04-07 21:04:04
1-3J70PF0A; falta-stock ;,2026-04-07 21:04:06
1-3J7TFZ6R; Declarada o En Proceso ;,2026-04-07 21:04:07
1-3IPY5IMX ; Codigo de material no reconocido ;,2026-04-07 21:04:49
1-3J7MF4QY; Declarada o En Proceso ;,2026-04-07 21:04:53
1-3J7IJZMT; Declarada o En Proceso ;,2026-04-07 21:05:17
1-3J74821K; Declarada o En Proceso ;,2026-04-07 21:05:28
1-3J6O7UWZ; falta-stock ;,2026-04-07 21:05:38
1-3J7FE2ZF; Declarada o En Proceso ;,2026-04-07 21:05:40
1-3IQCMG2B ; producto erroneo ;,2026-04-07 21:05:43
1-3J712H1V; falta-stock ;,2026-04-07 21:05:49
1-3J7TKU8O; Declarada o En Proceso ;,2026-04-07 21:05:56
1-3IQPQ5MN ; producto erroneo ;,2026-04-07 21:06:37
1-3J7TPL1H ; Codigo de material no reconocido ;,2026-04-07 21:06:44
1-3J748TG9; falta-stock ;,2026-04-07 21:07:02
1-3J7MJHDL; Declarada o En Proceso ;,2026-04-07 21:07:10
1-3J6UM3JH; Declarada o En Proceso ;,2026-04-07 21:07:23
1-3IPK5BPW ; Codigo de material no reconocido ;,2026-04-07 21:07:26
1-3J7UTSEG ; Codigo de material no reconocido ;,2026-04-07 21:07:32
1-3J7IN9QH; Declarada o En Proceso ;,2026-04-07 21:07:35
1-3J7FFXKR; Declarada o En Proceso ;,2026-04-07 21:07:59
1-3IR737DQ ; Codigo de material no reconocido ;,2026-04-07 21:08:14
1-3J7UWLLH ; Codigo de material no reconocido ;,2026-04-07 21:08:20
1-3J7IOOJF ; Codigo de material no reconocido ;,2026-04-07 21:08:23
1-3J6UNO0J ; Codigo de material no reconocido ;,2026-04-07 21:08:49
1-3IR7RLQJ ; producto erroneo ;,2026-04-07 21:09:08
1-3J7UYPED ; Codigo de material no reconocido ;,2026-04-07 21:09:09
1-3J7MOA1B; Declarada o En Proceso ;,2026-04-07 21:09:14
1-3IR8GWXQ ; Codigo de material no reconocido ;,2026-04-07 21:09:56
1-3J7VBV57 ; Codigo de material no reconocido ;,2026-04-07 21:09:57
1-3J7IRE0H; falta-stock ;,2026-04-07 21:10:07
1-3J7FH3Q9; Declarada o En Proceso ;,2026-04-07 21:10:18
1-3J6ODTOE; Declarada o En Proceso ;,2026-04-07 21:10:20
1-3J715K6B; Declarada o En Proceso ;,2026-04-07 21:10:40
